Issue Type,Issue key,Summary,Description,Priority,Story Points,Component,Due Date
Epic,AERO-EPIC-1,Aero-Engine Thermodynamic & Environmental Simulator,Build high-fidelity 10 Hz mathematical simulation of MALE UAV piston engine operating across dynamic atmospheric conditions with fault injection capabilities.,High,,Simulation,2026-09-04
Story,AERO-1,Build 10 Hz Environmental State Engine,Develop International Standard Atmosphere (ISA) model accounting for altitude changes (0-25000 ft) air density ambient temp humidity dust and rain factors.,High,3,Simulation,2026-09-02
Story,AERO-2,Implement Piston Engine Thermodynamic Physics,Model core state variables: RPM fuel flow CHT EGT MAP oil pressure and combustion efficiency using first-principle thermodynamic equations.,High,5,Simulation,2026-09-03
Story,AERO-3,Inject Fault Generators,Implement real-time fault injection toggles: lean-burn thermal runaway piston ring wear valve sticking and sensor flatlines.,Medium,3,Simulation,2026-09-04
Epic,AERO-EPIC-2,Cross-Modal Sensor Fusion & Anomaly Core,Implement physics-constrained multimodal sensor fusion layer capable of sensor isolation and sub-30ms feature extraction.,High,,AI/ML,2026-09-08
Story,AERO-4,Sensor Validation Layer with 60s Freeze Cutoff,Develop input sanitization algorithm that flags and cuts off sensors holding invariant static readings for >60 seconds.,High,3,AI/ML,2026-09-05
Story,AERO-5,Physics-Constrained Cross-Modal Attention Fusion Pipeline,Construct cross-modal fusion network combining asynchronous sensor streams into unified latent space under thermodynamic constraints.,High,8,AI/ML,2026-09-07
Story,AERO-6,Engine Health Index (EHI) & Combustion Efficiency Formulation,Mathematically derive composite 0-100% Engine Health Index (EHI) and combustion degradation indices based on fused sensor states.,Medium,5,AI/ML,2026-09-08
Epic,AERO-EPIC-3,Predictive AI Engine & 30-Min RUL Estimator,Develop deep learning time-series predictive engine providing 30-minute Return-to-Base (RTB) early warning window.,High,,AI/ML,2026-09-12
Story,AERO-7,Variational Autoencoder (VAE) for Real-Time Anomaly Scoring,Train VAE on nominal flight data to compute dynamic reconstruction error for early sub-threshold failure detection.,High,5,AI/ML,2026-09-09
Story,AERO-8,Train Temporal Convolutional Network + XGBoost for RUL Estimation,Train hybrid TCN-XGBoost regressor to project Remaining Useful Life (RUL) with high precision under degrading engine dynamics.,High,8,AI/ML,2026-09-11
Story,AERO-9,Export TorchScript / ONNX Pipeline with Latency Benchmark,Serialize ML models to TorchScript/ONNX and verify inference latency is strictly <30ms on local CPU/GPU runtime.,Medium,3,AI/ML,2026-09-12
Epic,AERO-EPIC-4,Node.js Gateway TimescaleDB & Telemetry Streaming,Build high-throughput Node.js streaming architecture and persistent time-series database with automated CSV failure logging.,High,,Backend,2026-09-14
Story,AERO-10,Implement High-Throughput WebSocket Server for 10 Hz Telemetry,Create low-latency Node.js WebSocket gateway distributing telemetry state from simulator/AI to connected frontends.,High,3,Backend,2026-09-13
Story,AERO-11,Configure TimescaleDB Schema & Incident CSV Logger,Set up hypertable schema for streaming engine parameters and implement disk-level CSV logger for alerts and warnings.,Medium,3,Backend,2026-09-14
Epic,AERO-EPIC-5,3D Digital Twin & Dual-Cockpit Dashboard,Build interactive Three.js 3D engine visualizer dynamic 2D cockpit gauges and mission replay system.,High,,Frontend,2026-09-17
Story,AERO-12,Three.js Interactive 3D Aero Piston Model with Thermal Heatmaps,Render animated 3D piston engine CAD assembly with live vertex shader thermal mapping mapped to CHT/EGT data.,High,8,Frontend,2026-09-15
Story,AERO-13,Build 2D Dynamic Flight Cockpit with Chart.js Gauges,Create responsive cockpit view featuring real-time dials (RPM oil pressure fuel rate) and streaming strip charts.,Medium,5,Frontend,2026-09-16
Story,AERO-14,Interactive Mission Replay & Audio Alert System,Implement historical time-scrubbing mission replay tool and multi-stage auditory alarm triggers for impending RTB thresholds.,Medium,5,Frontend,2026-09-17
Epic,AERO-EPIC-6,System Integration Dockerization & Submission Packaging,Containerize local system package final deliverables video walkthrough and DRDO pitch deck for September 20 submission.,High,,DevOps/Docs,2026-09-20
Story,AERO-15,Orchestrate Full Stack with Docker Compose for One-Click Local Demo,Write unified docker-compose.yml linking Simulator ML Service Node Backend and React UI seamlessly.,High,3,DevOps/Docs,2026-09-18
Story,AERO-16,Record Interactive Video Walkthrough & Prepare DRDO Pitch Deck,Produce 3-minute high-impact video demonstration and complete official SIH PPT detailing Tapas-BH-201 alignment.,High,5,DevOps/Docs,2026-09-19
Story,AERO-17,End-to-End Stress Testing & Code Freeze for Final Submission,Execute full rehearsal with failure injection edge-case testing and freeze GitHub repository for official submission.,High,2,DevOps/Docs,2026-09-20
